,ea0021,Stochastic Variance Reduction for Deep Q-learning,1,21,Weiye Zhao,Main Track,Approximation Gradient Error Variance Reduced Optimization,FALSE, Zhao,6,#VALUE!,10, Zhao
,ea0026,"Credulous Acceptability, Poison Games and Modal Logic",1,26,"Davide Grossi, Simon Rey",Main Track,"Credulous Acceptability, Poison Games and Modal Logic",TRUE," Grossi, ",7,15,15," Grossi, "
,ea0046,Social Mobilization to Reposition Indiscriminately Parked Shareable Bikes,1,46,"Zelei Liu, Han Yu, Leye Wang, Liang Hu, Qiang Yang",Main Track,Social Mobilization to Reposition Indiscriminately Parked Shareable Bikes,TRUE," Liu, ",6,11,11," Liu, "
,ea0047,A Regulation Enforcement Solution for Multi-agent Reinforcement Learning,1,47,"Sun Fan-Yun, Yen-Yu Chang, Yueh-Hua Wu, Shou-De Lin",Main Track,A Regulation Enforcement Solution for Multi-agent Reinforcement Learning,TRUE," Fan-Yun, ",4,13,13," Fan-Yun, "
,ea0048,Bayes-ToMoP: A Fast Detection and Best Response Algorithm Towards Sophisticated Opponents,1,48,"Tianpei Yang, Jianye Hao, Zhaopeng Meng, Chongjie Zhang, Yan Zheng",Main Track,Bayes-ToMoP: A Fast Detection and Best Response Algorithm Towards Sophisticated Opponents,TRUE," Yang, ",8,14,14," Yang, "
,ea0068,Multi-agent Path Planning with Non-constant Velocity Motion,1,68,"Ngai Meng Kou, Cheng Peng, Xiaowei Yan, Zhiyuan Yang, Heng Liu, Kai Zhou, Haibing Zhao, Lijun Zhu, Yinghui Xu",Main Track,Multi-agent Path Planning with Non-constant Velocity Motion,TRUE, Meng ,5,10,10, Meng 
,ea0081,Complexity and Approximations in Robust Coalition Formation via Max-Min <i>k</i>-Partitioning,1,81,"Anisse Ismaili, Makoto Yokoo, Noam Hazon, Sarit Kraus, Emi Watanabe",Main Track,Complexity and Approximations in Robust Coalition Formation via Max-Min k-Partitioning,FALSE," Ismaili, ",7,16,16," Ismaili, "
,ea0085,Contradict the Machine: A Hybrid Approach to Identifying Unknown Unknowns,1,85,"Colin Vandenhof, Edith Law",Main Track,Contradict The Machine: a Hybrid Approach to Identifying Unknown Unknowns,FALSE," Vandenhof, ",6,17,17," Vandenhof, "
inconsistent ID:,ea088,Invincible Strategies of Iterated Prisoner's Dilemma,1,88,"Shiheng Wang, Fangzhen Lin",Main Track,Invincible Strategies of Iterated Prisoner's Dilemma,TRUE," Wang, ",8,14,14," Wang, "
,ea0092,General-Sum Cyber Deception Games under Partial Attacker Valuation Information,1,92,"Omkar Thakoor, Phebe Vayanos, Christopher Kiekintveld, Milind Tambe, Haifeng Xu",Main Track,General-Sum Cyber Deception Games under Partial Attacker Valuation Information,TRUE," Thakoor, ",6,15,15," Thakoor, "
,ea0105,Optimising Worlds to Evaluate and Influence Reinforcement Learning Agents,1,105,"Richard Everett, Adam Cobb, Stephen Roberts, Andrew Markham",Main Track,Optimising Worlds to Evaluate and Influence Reinforcement Learning Agents,TRUE," Everett, ",8,17,17," Everett, "
,ea0112,Broken Signals in Security Games: Coordinating Patrollers and Sensors in the Real World,1,112,"Elizabeth Bondi, Hoon Oh, Haifeng Xu, Fei Fang, Bistra Dilkina, Milind Tambe",Main Track,Broken Signals in Security Games: Coordinating Patrollers and Sensors in the Real World,TRUE," Bondi, ",10,17,17," Bondi, "
,ea0128,Probabilistic Resource-bounded Alternating-time Temporal Logic,1,128,"Hoang Nga Nguyen, Abdur Rakib",Main Track,Probabilistic resource-bounded alternating-time temporal logic,FALSE, Nga ,6,10,10, Nga 
,ea0138,A Polynomial-time Fragment of Epistemic Probabilistic Argumentation,1,138,Nico Potyka,Main Track,A Polynomial-time Fragment of Epistemic Probabilistic Argumentation,TRUE, Potyka,5,#VALUE!,11, Potyka
,ea0142,Bayesian-DPOP for Continuous Distributed Constraint Optimization Problems,1,142,"Jeroen Fransman, Bart De Schutter, Henry Dol, Erik Theunissen, Joris Sijs",Robotics Track,Bayesian-DPOP for continuous Distributed Constraint Optimization Problems,FALSE," Fransman, ",7,17,17," Fransman, "
,ea0162,Distributed Policy Iteration for Scalable Approximation of Cooperative Multi-Agent Policies,1,162,"Thomy Phan, Kyrill Schmid, Lenz Belzner, Thomas Gabor, Sebastian Feld, Claudia Linnhoff-Popien",Main Track,Distributed Policy Iteration for Scalable Approximation of Cooperative Multi-Agent Policies,TRUE," Phan, ",6,12,12," Phan, "
,ea0204,Avoiding Social Disappointment in Elections,1,204,"Mohammad Ali Javidian, Pooyan Jamshidi, Rasoul Ramezanian",Main Track,Avoiding Social Disappointment in Elections,TRUE, Ali ,9,13,13, Ali 
,ea0218,Landmark Based Reward Shaping in Reinforcement Learning with Hidden States,1,218,"Alper Demir, Erkin Çilden, Faruk Polat",Main Track,Landmark Based Reward Shaping in Reinforcement Learning with Hidden States,TRUE," Demir, ",6,13,13," Demir, "
,ea0232,Cooperating in Long-term Relationships with Time-Varying Structure,1,232,"Jacob Crandall, Huy Pham",Main Track,Cooperating in Long-term Relationships with Time-Varying Structure,TRUE," Crandall, ",6,16,16," Crandall, "
,ea0273,Dynamic and Intelligent Control of Autonomous Vehicles for Highway On-ramp Merge,1,273,"Zine el abidine Kherroubi, Samir Aknine, Rebiha Bacha",Industrial Applications Track,Dynamic and intelligent control of autonomous vehicles for highway on-ramp merge,FALSE, el ,5,8,8, el 
,ea0300,MCTS-based Automated Negotiation Agent,1,300,"Cédric Buron, Zahia Guessoum, Sylvain Ductor",Main Track,MCTS-based Automated Negotiation Agent,TRUE," Buron, ",7,14,14," Buron, "
,ea0303,Complexity of Additive Committee Selection with Outliers,1,303,"Yongjie Yang, Jianxin Wang",Main Track,The Complexity of Additive Committee Selection with Outliers,FALSE," Yang, ",8,14,14," Yang, "
,ea0304,Maximin-Aware Allocations of Indivisible Goods,1,304,"Hau Chan, Jing Chen, Bo Li, Xiaowei Wu",Main Track,Oblivious Envy-Free Allocations of Indivisible Goods,FALSE," Chan, ",4,10,10," Chan, "
,ea0307,Advice Replay Approach for Richer Knowledge Transfer in Teacher Student Framework,1,307,"Vaibhav Gupta, Daksh Anand, Praveen Paruchuri, Balaraman Ravindran",Main Track,Advice Replay Approach for Richer Knowledge Transfer in Teacher Student Framework,TRUE," Gupta, ",8,15,15," Gupta, "
,ea0312,Proportional Representation in Elections: STV vs PAV,1,312,"Piotr Faliszewski, Piotr Skowron, Stanislaw Szufa, Nimrod Talmon",Main Track,Proportional Representation in Elections: STV vs PAV,TRUE," Faliszewski, ",6,19,19," Faliszewski, "
,ea0316,Contest Manipulation for Improved Performance,1,316,"Michal Habani, Priel Levy, David Sarne",Main Track,Simple Contest Enhancers,FALSE," Habani, ",7,15,15," Habani, "
,ea0325,Policy Networks: A Framework for Scalable Integration of Multiple Decision-Making Models,1,325,"Kyle Wray, Shlomo Zilberstein",Main Track,Policy Networks: A Framework for Scalable Integration of Multiple Decision-Making Models,TRUE," Wray, ",5,11,11," Wray, "
,ea0341,Multiagent Monte Carlo Tree Search,1,341,"Nicholas Zerbel, Logan Yliniemi",Main Track,Multiagent Monte Carlo Tree Search,TRUE," Zerbel, ",9,17,17," Zerbel, "
,ea0344,Using Surrogate Models to Calibrate Agent-based Model Parameters Under Data Scarcity,1,344,"Priscilla Avegliano, Jaime Sichman",Main Track,Using surrogate models to calibrate agent-based model parameters under data scarcity,FALSE," Avegliano, ",10,21,21," Avegliano, "
,ea0357,Learning Simulation-Based Games from Data,1,357,"Enrique Areyan Viqueira, Cyrus Cousins, Amy Greenwald, Eli Upfal",Main Track,Learning Simulation-Based Games from Data,TRUE, Areyan ,8,15,15, Areyan 
,ea0374,Attention-based Deep Reinforcement Learning for Multi-view Environments,1,374,"Elaheh Barati, Xuewen Chen",Main Track,Attention-based Deep Reinforcement Learning for Multi-view Environments,TRUE," Barati, ",7,15,15," Barati, "
